価格,占有面積,所在地,バルコニー,沿線・駅,間取り,築年月,地下鉄,市電,ＪＲ,徒歩,バス,停歩
580,43.63,北海道札幌市豊平区平岸七条１３,-,地下鉄南北線「南平岸」徒歩14分,2DK,1979/12,1,0,0,14,,,
680,65.66,北海道札幌市厚別区大谷地東２,5.74,地下鉄東西線「大谷地」徒歩5分,3LDK,1985/11,1,0,0,5,,,
695,37.54,北海道札幌市豊平区平岸三条５,2.7,地下鉄南北線「平岸」徒歩4分,1LDK,1980/9,1,0,0,4,,,
810,72.25,北海道札幌市手稲区富丘二条４-2-1,10.2,ＪＲ函館本線「稲積公園」徒歩10分,3LDK,1977/9,0,0,1,10,,,
980,87.12,北海道札幌市北区篠路七条６,12.29,ＪＲ札沼線「篠路」徒歩10分,4LDK,1991/4,0,0,1,10,,,
980,56.53,北海道札幌市中央区南十七条西８,2.38,札幌市電「静修学園前」徒歩5分,2LDK,1988/7,0,1,0,5,,,
1080,75.35,北海道札幌市清田区美しが丘三条６,17.87,中央バス「美しが丘3条6丁目」徒歩1分,3LDK,2000/9,0,0,0,1,,,
1080,66.75,北海道札幌市豊平区中の島二条１０-3-4,9.1,地下鉄南北線「澄川」徒歩13分,3LDK,1974/6,1,0,0,13,,,
1180,74.21,北海道札幌市豊平区西岡三条７,6.71,中央バス「札大正門前」徒歩1分,3LDK,1986/11,0,0,0,1,,,
1280,95.65,北海道札幌市北区百合が原９,8.56,ＪＲ札沼線「百合が原」徒歩10分,4LDK,1992/2,0,0,1,10,,,
1290,89.67,北海道札幌市豊平区旭町３,1.59,地下鉄東豊線「学園前」徒歩5分,3LDK,1974/7,1,0,0,5,,,
1290,55.05,北海道札幌市豊平区豊平一条１,11.89,地下鉄東西線「菊水」徒歩5分,2LDK,1984/10,1,0,0,5,,,
1330,80.28,北海道札幌市豊平区月寒東四条１０,19.36,地下鉄東豊線「月寒中央」徒歩18分,3LDK,1987/11,1,0,0,18,,,
1380,69.78,北海道札幌市豊平区平岸六条９,4.82,地下鉄東豊線「美園」徒歩9分,3LDK,1988/8,1,0,0,9,,,
1480,98.73,北海道札幌市手稲区稲穂三条６,13.56,ＪＲ函館本線「稲穂」徒歩9分,4LDK,1992/11,0,0,1,9,,,
1480,76.92,北海道札幌市厚別区上野幌三条５,8.74,ＪＲバス「東栄通」徒歩1分,3LDK,1995/10,0,0,1,1,,,
1480,70.69,北海道札幌市中央区南九条西１８,19.9,札幌市電「西線９条旭山公園通」徒歩8分,2LDK+S（納戸）,1984/8,0,1,0,8,,,
1480,89.67,北海道札幌市豊平区旭町３,1.59,地下鉄東豊線「学園前」徒歩5分,3LDK,1974/7,1,0,0,5,,,
1480,80.4,北海道札幌市豊平区平岸一条６,8.44,地下鉄南北線「平岸」徒歩5分,2LDK,1974/9,1,0,0,5,,,
1480,55.51,北海道札幌市中央区北五条西１３,11.24,地下鉄東西線「西１１丁目」徒歩14分,2LDK,1985/5,1,0,0,14,,,
1480,81.87,北海道札幌市手稲区星置一条２,16.17,ＪＲ函館本線「星置」徒歩4分,4LDK,1996/1,0,0,1,4,,,
1480,91.73,北海道札幌市中央区南十二条西２２,5.55,ＪＲバス「南11条西22丁目」徒歩2分,3LDK,1989/2,0,0,1,2,,,
1498,74.61,北海道札幌市西区八軒一条西１-１番２０,7.46,ＪＲ函館本線「琴似」徒歩3分,3LDK,1982/11,0,0,1,3,,,
1500,61.57,北海道札幌市豊平区月寒中央通１１,5.52,地下鉄東豊線「福住」徒歩7分,2LDK,1980/6,1,0,0,7,,,
1580,109.06,北海道札幌市北区百合が原７,12.54,ＪＲ札沼線「百合が原」徒歩6分,5LDK,1998/2,0,0,1,6,,,
1590,79.8,北海道札幌市北区新琴似八条２,7.56,ＪＲ札沼線「新琴似」徒歩3分,3LDK,1979/11,0,0,1,3,,,
1630,66.3,北海道札幌市西区八軒一条東１,2.26,ＪＲ函館本線「琴似」徒歩5分,1LDK,1973/4,0,0,1,5,,,
1680,72.04,北海道札幌市北区麻生町５,8.27,地下鉄南北線「麻生」徒歩2分,3LDK,1982/11,1,0,0,2,,,
1680,92.65,北海道札幌市北区新琴似九条２,7.98,ＪＲ札沼線「新琴似」徒歩2分,4LDK,1982/1,0,0,1,2,,,
1730,90.19,北海道札幌市豊平区豊平三条６,9.52,地下鉄東西線「菊水」徒歩8分,4LDK,1995/1,1,0,0,8,,,
1780,87.73,北海道札幌市手稲区手稲本町二条１,9.51,ＪＲ函館本線「手稲」徒歩7分,3LDK,2003/6,0,0,1,7,,,
1780,88.77,北海道札幌市清田区平岡五条２,14.08,中央バス「シュヴァービング中央」徒歩3分,4LDK,1996/4,0,0,0,3,,,
1780,52.08,北海道札幌市東区北十九条東１５,5.46,地下鉄東豊線「環状通東」徒歩7分,2LDK,2007/11,1,0,0,7,,,
1880,87.92,北海道札幌市白石区栄通１４,17.1,地下鉄東西線「南郷１３丁目」徒歩5分,4LDK,1988/11,1,0,0,5,,,
1880,75.94,北海道札幌市西区発寒六条１３,9.04,ＪＲ函館本線「発寒」徒歩9分,3LDK,2000/1,0,0,1,9,,,
1930,75.15,北海道札幌市豊平区月寒東一条１５,11,地下鉄東豊線「福住」徒歩2分,3LDK,1995/2,1,0,0,2,,,
1980,73.81,北海道札幌市白石区栄通１４,12.22,地下鉄東西線「南郷１３丁目」徒歩4分,3LDK,1990/12,1,0,0,4,,,
2180,84.49,北海道札幌市北区麻生町９,15.48,地下鉄南北線「麻生」徒歩9分,3LDK,2008/12,1,0,0,9,,,
2280,87.54,北海道札幌市北区麻生町９,21.28,地下鉄南北線「麻生」徒歩9分,3LDK,2008/12,1,0,0,9,,,
2280,78.78,北海道札幌市厚別区厚別中央一条２,20.14,地下鉄東西線「ひばりが丘」徒歩3分,3LDK,2004/3,1,0,0,3,,,
2290,83.08,北海道札幌市白石区南郷通１丁目北,12.48,地下鉄東西線「白石」徒歩2分,3LDK,1991/1,1,0,0,2,,,
2290,83.08,北海道札幌市白石区南郷通１丁目北,12.48,地下鉄東西線「白石」徒歩2分,3LDK,1991/10,1,0,0,2,,,
2290,83.08,北海道札幌市白石区南郷通１丁目北,12.48,地下鉄東西線「白石」徒歩2分,3LDK,1991/10,1,0,0,2,,,
2350,71.69,北海道札幌市厚別区厚別中央二条６,11.97,地下鉄東西線「新さっぽろ」徒歩3分,3LDK,1994/10,1,0,0,3,,,
2480,73.37,北海道札幌市中央区北一条西１９-１番２,9.45,地下鉄東西線「西１８丁目」徒歩6分,2LDK,1987/9,1,0,0,6,,,
2560,91.05,北海道札幌市白石区東札幌三条１,11.03,地下鉄東西線「東札幌」徒歩2分,2LDK,1991/6,1,0,0,2,,,
2580,121.62,北海道札幌市清田区美しが丘四条８,6.94,地下鉄東豊線「福住」バス24分停歩4分,4LDK,2014/12,1,0,0,,24,4,
2590,83.95,北海道札幌市中央区北五条西２３,19.44,地下鉄東西線「西２８丁目」徒歩8分,4LDK,2008/1,1,0,0,8,,,
2680,58.03,北海道札幌市中央区北二条東２,8.55,地下鉄南北線「さっぽろ」徒歩6分,1LDK+S（納戸）,2012/7,1,0,0,6,,,
2690,98.72,北海道札幌市白石区東札幌三条５,9.8,地下鉄東西線「白石」徒歩3分,3LDK,1998/7,1,0,0,3,,,
2750,86.38,北海道札幌市白石区東札幌一条３,21.39,地下鉄東西線「東札幌」徒歩4分,3LDK,2006/1,1,0,0,4,,,
2780,75,北海道札幌市中央区南三条西６,10.89,地下鉄南北線「大通」徒歩7分,3LDK,1998/3,1,0,0,7,,,
2780,79.17,北海道札幌市北区北二十三条西６,18.01,地下鉄南北線「北２４条」徒歩3分,3LDK,1997/1,1,0,0,3,,,
2790,97.88,北海道札幌市厚別区大谷地東４,19.96,地下鉄東西線「大谷地」徒歩5分,4LDK,1999/12,1,0,0,5,,,
2880,101.32,北海道札幌市中央区北一条西２１,11.35,地下鉄東西線「西１８丁目」徒歩6分,4LDK,2000/11,1,0,0,6,,,
2880,80.61,北海道札幌市豊平区平岸四条７,16.78,地下鉄南北線「平岸」徒歩5分,3LDK,2007/6,1,0,0,5,,,
2880,89.32,北海道札幌市中央区大通西２６,6.35,地下鉄東西線「円山公園」徒歩1分,3LDK,1984/11,1,0,0,1,,,
2980,81,北海道札幌市中央区北一条西１３,18.07,地下鉄東西線「西１１丁目」徒歩6分,1LDK+S（納戸）,2002/10,1,0,0,6,,,
2980,100.09,北海道札幌市中央区南十九条西１２,23.92,札幌市電「ロープウェイ入口」徒歩5分,4LDK,2003/1,0,1,0,5,,,
3050,87.42,北海道札幌市中央区北四条西２４,20.69,地下鉄東西線「西２８丁目」徒歩5分,3LDK,2006/1,1,0,0,5,,,
3098,82.92,北海道札幌市西区発寒五条８,27.32,地下鉄東西線「宮の沢」徒歩9分,3LDK,2016/7,1,0,0,9,,,
3180,120.22,北海道札幌市中央区南十六条西１９,8.1,札幌市電「西線１６条」徒歩8分,4LDK,2003/8,0,1,0,8,,,
